location,outbreak_number,start_weekday,duration,threshold,total_suspected_cases,attack_rate,total_deaths,cfr,temporal_scale,country,population,area,mean_R0,population_density,rural_urban,pop_cat,who_region,start_date,end_date,total_confirmed_cases,spatial_scale,location_period_id,time_to_peak..weeks.,latitude,longitude
afr::cod::katanga::kinkondjahealthdistrict,7,Monday,17,12.12682178,803,4.447645016,6.0,0.747198007,weekly,COD,180545.0,4170.821978,1.98,43.28763034,Rural settings,"Population <1,000,000",AFR,9/1/2014,12/28/2014,,admin2,14380,6.0,-8.507860171677109,26.107046926094604
afr::cod::katanga::kisangahealthdistrict,1,Monday,18,14.02203618,116,21.97818871,1.0,0.862068966,weekly,COD,5278.0,143.2842653,1.83,36.83586602,Rural settings,"Population <10,000",AFR,3/4/2013,7/7/2013,,admin2,14382,6.0,-11.85881,27.57794
afr::cod::katanga::kitengehealthdistrict,1,Monday,28,0.51088456,102,1.078616397,15.0,14.70588235,weekly,COD,94565.6,4657.769592,2.25,20.30276469,Rural settings,"Population <100,000",AFR,9/10/2012,3/24/2013,,admin2,14383,5.0,-6.765178,26.08426
afr::cod::katanga::kongolohealthdistrict,2,Monday,16,0.915282252,244,1.137892769,2.0,0.819672131,weekly,COD,214431.5,8120.5504,1.42,26.40603031,Rural settings,"Population <1,000,000",AFR,10/18/2010,2/6/2011,,admin2,14385,3.0,-5.369837,27.01514
afr::cod::katanga::kongolohealthdistrict,3,Monday,11,0.915282252,76,0.350220529,2.0,2.631578947,weekly,COD,217006.1,8120.5504,1.66,26.72307779,Rural settings,"Population <1,000,000",AFR,9/26/2011,12/11/2011,,admin2,14385,3.0,-5.369837,27.01514
afr::cod::katanga::lubudihealthdistrict,1,Monday,5,0.177473742,16,0.107199987,2.0,12.5,weekly,COD,149253.8,7670.639157,2.01,19.45780488,Rural settings,"Population <1,000,000",AFR,11/24/2014,12/28/2014,,admin2,14389,5.0,-10.2291999526394,25.7063298510004
afr::cod::katanga::lukafuhealthdistrict,1,Monday,18,0.265611743,132,0.62110792,9.0,6.818181818,weekly,COD,212523.5,7384.218389,1.83,28.78077121,Rural settings,"Population <1,000,000",AFR,2/24/2014,6/29/2014,,admin2,14391,9.0,-9.983675,27.49618
afr::cod::katanga::malembankuluhealthdistrict,3,Monday,39,2.186593895,328,1.298104521,8.0,2.43902439,weekly,COD,252676.1,1962.800933,1.66,128.7324128,Rural settings,"Population <1,000,000",AFR,6/28/2010,3/27/2011,,admin2,14393,30.0,-7.711398,26.81103
afr::cod::katanga::malembankuluhealthdistrict,5,Monday,24,2.186593895,522,1.840109631,22.0,4.214559387,weekly,COD,283678.8,1962.800933,1.57,144.5275449,Rural settings,"Population <1,000,000",AFR,8/27/2012,2/10/2013,,admin2,14393,4.0,-7.711398,26.81103
afr::cod::katanga::malembankuluhealthdistrict,6,Monday,18,2.186593895,436,1.274455534,7.0,1.605504587,weekly,COD,342106.9,1962.800933,1.71,174.2952605,Rural settings,"Population <1,000,000",AFR,8/25/2014,12/28/2014,,admin2,14393,6.0,-7.711398,26.81103
afr::cod::katanga::mitwabahealthdistrict,1,Monday,4,0.069299849,36,0.162893475,2.0,5.555555556,weekly,COD,221003.3,13847.25475,2.35,15.96008046,Rural settings,"Population <1,000,000",AFR,10/27/2014,11/23/2014,,admin2,14397,3.0,-8.078387,27.64174
afr::cod::katanga::mobahealthdistrict::mulungushi,1,Monday,17,9.458023127,30,3.256121976,0.0,0.0,weekly,COD,9213.4,591.9924181,2.08,15.563375,Rural settings,"Population <10,000",AFR,11/1/2010,2/27/2011,,admin3,15018,6.0,-7.5942,29.5699
afr::cod::katanga::mukangahealthdistrict,2,Monday,12,0.554295292,52,0.11310348,2.0,3.846153846,weekly,COD,459756.0,4459.354341,1.71,103.0992303,Rural settings,"Population <1,000,000",AFR,1/11/2010,4/4/2010,,admin2,14400,3.0,-7.962261,27.44038
afr::cod::katanga::mukangahealthdistrict,3,Monday,10,0.554295292,76,0.128296865,3.0,3.947368421,weekly,COD,592376.1,4459.354341,1.56,132.838984,Rural settings,"Population <1,000,000",AFR,12/24/2012,3/3/2013,,admin2,14400,3.0,-7.962261,27.44038
