location,outbreak_number,start_weekday,duration,threshold,total_suspected_cases,attack_rate,total_deaths,cfr,temporal_scale,country,population,area,mean_R0,population_density,rural_urban,pop_cat,who_region,start_date,end_date,total_confirmed_cases,spatial_scale,location_period_id,time_to_peak..weeks.,latitude,longitude
afr::cod::sudkivu::mitimurhesahealthdistrict,5,Monday,14,4.639564377,119,1.226099334,0.0,0.0,weekly,COD,97055.8,261.5071759,1.78,371.1401022,Rural settings,"Population <100,000",AFR,10/6/2014,1/11/2015,,admin2,14680,8.0,-2.437136,28.87164
afr::cod::sudkivu::mitimurhesahealthdistrict,6,Monday,17,4.639564377,465,4.282973898,0.0,0.0,weekly,COD,108569.4,261.5071759,2.14,415.1679572,Rural settings,"Population <1,000,000",AFR,10/9/2017,2/4/2018,,admin2,14680,5.0,-2.437136,28.87164
afr::cod::sudkivu::mwanahealthdistrict,1,Monday,17,1.077083303,125,4.20949499,3.0,2.4,weekly,COD,29694.8,467.1352591,2.04,63.56788408,Rural settings,"Population <100,000",AFR,12/12/2011,4/8/2012,,admin2,14682,6.0,-2.777708,28.68135
afr::cod::sudkivu::nunduhealthdistrict,1,Monday,7,9.108603532,70,1.051505337,0.0,0.0,weekly,COD,66571.2,1607.588328,1.57,41.41060173,Rural settings,"Population <100,000",AFR,1/25/2010,3/14/2010,,admin2,14684,3.0,-3.550505,29.1439
afr::cod::sudkivu::nunduhealthdistrict,2,Monday,43,9.108603532,444,6.669548136,2.0,0.45045045,weekly,COD,66571.2,1607.588328,1.57,41.41060173,Rural settings,"Population <100,000",AFR,8/30/2010,6/26/2011,,admin2,14684,10.0,-3.550505,29.1439
afr::cod::sudkivu::nunduhealthdistrict,3,Monday,5,9.108603532,28,0.438055805,0.0,0.0,weekly,COD,63918.8,1607.588328,1.67,39.76067684,Rural settings,"Population <100,000",AFR,3/12/2012,4/15/2012,,admin2,14684,3.0,-3.550505,29.1439
afr::cod::sudkivu::nunduhealthdistrict,4,Monday,25,9.108603532,267,4.177174995,1.0,0.374531835,weekly,COD,63918.8,1607.588328,2.16,39.76067684,Rural settings,"Population <100,000",AFR,11/26/2012,5/19/2013,,admin2,14684,18.0,-3.550505,29.1439
afr::cod::sudkivu::nunduhealthdistrict,5,Monday,8,9.108603532,123,1.728612456,2.0,1.62601626,weekly,COD,71155.3,1607.588328,2.34,44.26214023,Rural settings,"Population <100,000",AFR,12/23/2013,2/16/2014,,admin2,14684,3.0,-3.550505,29.1439
afr::cod::sudkivu::nunduhealthdistrict,7,Monday,18,9.108603532,234,3.088561978,7.0,2.991452991,weekly,COD,75763.4,1607.588328,1.58,47.12860792,Rural settings,"Population <100,000",AFR,11/17/2014,3/22/2015,,admin2,14684,13.0,-3.550505,29.1439
afr::cod::sudkivu::nunduhealthdistrict,8,Monday,12,9.108603532,139,1.550844235,0.0,0.0,weekly,COD,89628.6,1607.588328,1.51,55.75345282,Rural settings,"Population <100,000",AFR,2/5/2018,4/29/2018,,admin2,14684,3.0,-3.550505,29.1439
afr::cod::sudkivu::nyangezihealthdistrict,1,Monday,11,0.536489662,224,1.274931351,0.0,0.0,weekly,COD,175695.7,206.479119,1.68,850.9126775,Rural settings,"Population <1,000,000",AFR,4/1/2013,6/16/2013,,admin2,14685,3.0,-2.661015,28.89709
afr::cod::sudkivu::ruzizihealthdistrict,2,Monday,8,2.607015454,81,0.423038217,0.0,0.0,weekly,COD,191472.1,535.164566,1.74,357.781722,Rural settings,"Population <1,000,000",AFR,9/20/2010,11/14/2010,,admin2,14687,5.0,-2.936806,29.13361
afr::cod::sudkivu::ruzizihealthdistrict,3,Monday,13,2.607015454,236,1.089554545,2.0,0.847457627,weekly,COD,216602.3,535.164566,2.27,404.7396142,Rural settings,"Population <1,000,000",AFR,12/19/2011,3/18/2012,,admin2,14687,4.0,-2.936806,29.13361
afr::cod::sudkivu::ruzizihealthdistrict,4,Monday,17,2.607015454,234,0.930228456,2.0,0.854700855,weekly,COD,251551.1,535.164566,1.59,470.0443863,Rural settings,"Population <1,000,000",AFR,1/7/2013,5/5/2013,,admin2,14687,4.0,-2.936806,29.13361
afr::cod::sudkivu::ruzizihealthdistrict,5,Monday,6,2.607015454,90,0.320449805,1.0,1.111111111,weekly,COD,280855.2,535.164566,1.49,524.8015617,Rural settings,"Population <1,000,000",AFR,9/4/2017,10/15/2017,,admin2,14687,3.0,-2.936806,29.13361
afr::cod::sudkivu::uvirahealthdistrict,3,Monday,35,17.80345217,1406,9.758062216,10.0,0.711237553,weekly,COD,144086.0,564.7912539,1.38,255.1137239,Rural settings,"Population <1,000,000",AFR,4/5/2010,12/5/2010,,admin2,14688,24.0,-3.322594,29.19188
afr::cod::sudkivu::uvirahealthdistrict,4,Monday,14,17.80345217,472,4.002737041,0.0,0.0,weekly,COD,117919.3,564.7912539,1.22,208.7838634,Rural settings,"Population <1,000,000",AFR,1/9/2012,4/15/2012,,admin2,14688,3.0,-3.322594,29.19188
afr::cod::sudkivu::uvirahealthdistrict,9,Monday,16,17.80345217,531,3.704491783,2.0,0.376647834,weekly,COD,143339.5,564.7912539,2.08,253.7919966,Rural settings,"Population <1,000,000",AFR,7/18/2016,11/6/2016,,admin2,14688,3.0,-3.322594,29.19188
afr::cod::sudkivu::uvirahealthdistrict::kalunducepac,1,Monday,17,26.02209823,45,8.580709177,0.0,0.0,weekly,COD,5244.3,6.821953568,1.84,768.7387414,Rural settings,"Population <10,000",AFR,3/12/2012,7/8/2012,,admin3,15050,3.0,-3.4183300159999703,29.132200019000038
afr::cod::sudkivu::uvirahealthdistrict::kavimvira,1,Monday,12,10.50282414,39,2.354636179,0.0,0.0,weekly,COD,16563.1,55.24575418,1.71,299.8076548,Rural settings,"Population <100,000",AFR,10/7/2013,12/29/2013,,admin3,15048,3.0,-3.354013302999931,29.158518727000057
afr::cod::sudkivu::uvirahealthdistrict::kilomoni,1,Monday,12,23.83200898,61,5.826160771,0.0,0.0,weekly,COD,10470.0,15.32402625,1.74,683.240803,Rural settings,"Population <100,000",AFR,2/8/2010,5/2/2010,,admin3,15047,3.0,-3.3545729919999303,29.15964359000003
afr::cod::sudkivu::uvirahealthdistrict::kilomoni,2,Monday,11,23.83200898,20,3.039671347,0.0,0.0,weekly,COD,6579.7,15.32402625,1.97,429.3714911,Rural settings,"Population <10,000",AFR,4/9/2012,6/24/2012,,admin3,15047,3.0,-3.3545729919999303,29.15964359000003
afr::cod::sudkivu::uvirahealthdistrict::kilomoni,3,Monday,6,23.83200898,37,5.189381682,0.0,0.0,weekly,COD,7129.9,15.32402625,1.92,465.2758931,Rural settings,"Population <10,000",AFR,11/18/2013,12/29/2013,,admin3,15047,5.0,-3.3545729919999303,29.15964359000003
afr::cod::sudkivu::uvirahealthdistrict::tanganyika,1,Monday,13,22.11989474,26,4.49080308,0.0,0.0,weekly,COD,5789.6,13.39115233,1.9,432.3451677,Rural settings,"Population <10,000",AFR,8/30/2010,11/28/2010,,admin3,15040,3.0,-3.388235295999948,29.137710737000077
afr::cod::sudkivu::uvirahealthdistrict::tanganyika,2,Monday,31,22.11989474,27,6.523323276,0.0,0.0,weekly,COD,4139.0,13.39115233,1.97,309.0846776,Rural settings,"Population <10,000",AFR,11/12/2012,6/16/2013,,admin3,15040,8.0,-3.388235295999948,29.137710737000077
afr::cod::sudkivu::uvirahealthdistrict::tanganyika,3,Monday,15,22.11989474,14,3.382463921,0.0,0.0,weekly,COD,4139.0,13.39115233,2.02,309.0846776,Rural settings,"Population <10,000",AFR,9/16/2013,12/29/2013,,admin3,15040,3.0,-3.388235295999948,29.137710737000077
afr::cod::tanganyika,1,Monday,24,2.027341109,3004,0.770169618,,,weekly,COD,3900439.5,132706.6702,2.01,29.39143522,Rural settings,"Population >1,000,000",AFR,12/19/2016,6/4/2017,,admin1,14692,3.0,-7.339121,26.35816
afr::cod::tanganyika,2,Monday,15,2.027341109,2572,0.604166659,,,weekly,COD,4257103.5,132706.6702,1.4,32.07904692,Rural settings,"Population >1,000,000",AFR,8/28/2017,12/10/2017,,admin1,14692,5.0,-7.339121,26.35816
afr::cod::tanganyika,5,Monday,37,2.027341109,4498,0.968066399,,,weekly,COD,4646375.5,132706.6702,1.35,35.01237348,Rural settings,"Population >1,000,000",AFR,9/3/2018,5/19/2019,,admin1,14692,7.0,-7.339121,26.35816
afr::cod::tanganyika,6,Monday,12,2.027341109,1523,0.300320819,,,weekly,COD,5071243.5,132706.6702,1.42,38.21393071,Rural settings,"Population >1,000,000",AFR,8/12/2019,11/3/2019,,admin1,14692,5.0,-7.339121,26.35816
afr::cod::tanganyika::kansimbahealthdistrict,1,Monday,7,1.117083577,256,1.262992815,15.0,5.859375,weekly,COD,202693.2,10099.73188,2.73,20.06916643,Rural settings,"Population <1,000,000",AFR,12/5/2016,1/22/2017,,admin2,14695,3.0,-6.506698,29.49567
afr::cod::tshopo,1,Monday,7,1.813938401,431,0.127264256,5.0,1.160092807,weekly,COD,3386654.0,200478.8753,1.41,16.89282222,Rural settings,"Population >1,000,000",AFR,12/2/2019,1/19/2020,,admin1,14703,3.0,-1.968557,25.02449
afr::cod::tshopo::basokohealthdistrict,1,Monday,14,6.473916417,756,9.427088676,24.0,3.174603175,weekly,COD,80194.4,1624.083079,2.68,49.37826213,Rural settings,"Population <100,000",AFR,2/15/2016,5/22/2016,,admin2,14705,5.0,1.296532,23.81943
afr::cod::tshopo::opalahealthdistrict,1,Monday,11,5.579407557,249,2.076300121,11.0,4.417670683,weekly,COD,119924.9,17828.90429,1.5,6.726431308,Rural settings,"Population <1,000,000",AFR,7/25/2016,10/9/2016,,admin2,14711,7.0,-1.980783,24.59839
afr::cod::tshopo::yabaondohealthdistrict,1,Monday,5,2.984892738,57,0.259755351,6.0,10.52631579,weekly,COD,219437.3,4759.013318,1.82,46.10983104,Rural settings,"Population <1,000,000",AFR,10/10/2016,11/13/2016,,admin2,14716,3.0,1.10362,23.70992
afr::cod::tshopo::yakusuhealthdistrict,2,Monday,10,1.747828351,657,3.350815781,10.0,1.522070015,weekly,COD,196071.7,3603.306915,2.23,54.41437674,Rural settings,"Population <1,000,000",AFR,11/11/2019,1/19/2020,,admin2,14719,6.0,0.9830531,24.89863
afr::cog::likouala::betou,2,Monday,11,33.44440916,251,10.49318337,6.0,2.390438247,weekly,COG,23920.3,3639.592879,1.63,6.572246071,Rural settings,"Population <100,000",AFR,1/23/2012,4/8/2012,251.0,admin2,15271,5.0,3.61011,18.53564
afr::cog::likouala::impfondo,1,Monday,10,10.02130863,32,1.68226558,5.0,15.625,weekly,COG,19022.0,2183.649872,1.87,8.71110348,Rural settings,"Population <100,000",AFR,3/26/2012,6/3/2012,32.0,admin2,15249,3.0,1.8435790000000338,18.051706000000024
afr::eth::afar,1,daily_group,12,1.365254656,1004,0.594340842,4.0,0.398406375,daily,ETH,1689266.4,94556.87821,1.53,17.86508218,Rural settings,"Population >1,000,000",AFR,9/12/2016,12/4/2016,0.0,admin1,16614,7.57,11.64572,41.797
afr::eth::afar::zone1,1,daily_group,12,2.617543101,1783,3.430454385,33.0,1.850813236,daily,ETH,519756.2,32542.28374,2.62,15.97171865,Rural settings,"Population <1,000,000",AFR,5/21/2018,8/12/2018,35.0,admin2,16618,3.0,12.603415605000066,42.249942256000054
afr::eth::afar::zone1::afambo,1,daily_group,7,6.586297331,363,14.07502363,6.0,1.652892562,daily,ETH,25790.4,1709.912354,2.17,15.08287834,Rural settings,"Population <100,000",AFR,6/18/2018,8/5/2018,0.0,admin3,15556,3.43,11.60905,41.78917
afr::eth::afar::zone1::asaita,1,daily_group,12,8.265396099,1078,16.88959023,12.0,1.113172542,daily,ETH,63826.3,1677.24738,2.79,38.05419568,Rural settings,"Population <100,000",AFR,5/21/2018,8/12/2018,6.0,admin3,15557,3.0,11.67256,41.62635
afr::eth::afar::zone1::dubti,2,daily_group,11,4.02813374,216,2.317222846,0.0,0.0,daily,ETH,93215.0,7408.843662,2.1,12.5815855,Rural settings,"Population <100,000",AFR,9/12/2016,11/27/2016,0.0,admin3,15559,3.71,10.96289,41.59542
afr::eth::afar::zone1::mile,1,daily_group,6,1.843389973,121,1.471325027,3.0,2.479338843,daily,ETH,82238.8,4067.788313,1.41,20.21707957,Rural settings,"Population <100,000",AFR,6/4/2018,7/15/2018,9.0,admin3,15563,2.71,10.9581,41.26942
afr::eth::afar::zone2,1,daily_group,5,0.284814092,165,0.348862171,0.0,0.0,daily,ETH,472966.2,29871.38838,1.9,15.83341872,Rural settings,"Population <1,000,000",AFR,9/18/2017,10/22/2017,0.0,admin2,16632,3.14,14.49028,40.17299
afr::eth::afar::zone2::dalol,1,daily_group,5,0.289352264,24,0.331300487,0.0,0.0,daily,ETH,72441.8,2232.222703,1.63,32.45276553,Rural settings,"Population <100,000",AFR,9/26/2016,10/30/2016,0.0,admin3,15569,3.0,14.24486,40.62799
afr::eth::afar::zone2::erebti,1,daily_group,9,0.645578582,29,0.513921428,2.0,6.896551724,daily,ETH,56428.9,2613.389615,2.06,21.59222631,Rural settings,"Population <100,000",AFR,9/19/2016,11/20/2016,0.0,admin3,15570,4.0,13.58745,40.07036
afr::eth::afar::zone3,2,daily_group,29,2.836730063,965,4.311447339,9.0,0.932642487,daily,ETH,223822.8,15798.58669,2.34,14.16726726,Rural settings,"Population <1,000,000",AFR,7/18/2016,2/5/2017,0.0,admin2,16631,15.57,11.18451,40.85144
afr::eth::afar::zone4,1,daily_group,10,0.120042419,52,0.170422395,0.0,0.0,daily,ETH,305124.2,11141.99142,2.55,27.38506866,Rural settings,"Population <1,000,000",AFR,9/9/2019,11/17/2019,0.5,admin2,16634,2.43,12.88915,40.58913
afr::eth::afar::zone4::ewa,1,daily_group,8,0.35271384,52,0.807714695,0.0,0.0,daily,ETH,64379.2,1444.345005,2.55,44.57328393,Rural settings,"Population <100,000",AFR,9/9/2019,11/3/2019,0.5,admin3,15580,2.43,11.70725,39.91932
afr::eth::amhara,1,daily_group,11,0.192547506,2461,0.119346858,0.0,0.0,daily,ETH,20620568.0,155377.0619,1.22,132.7130771,Rural settings,"Population >1,000,000",AFR,8/29/2016,11/13/2016,1.0,admin1,16611,2.43,13.72192,36.47877
afr::eth::amhara::awi,1,daily_group,12,0.105754315,94,0.0794126,0.0,0.0,daily,ETH,1183691.3,9070.495293,1.66,130.499081,Rural settings,"Population >1,000,000",AFR,8/22/2016,11/13/2016,1.0,admin2,16652,6.57,12.05406,36.34367
afr::eth::amhara::awi,3,daily_group,17,0.105754315,74,0.06125592,0.0,0.0,daily,ETH,1208046.5,9070.495293,1.39,133.1841824,Rural settings,"Population >1,000,000",AFR,7/3/2017,10/29/2017,0.0,admin2,16652,3.0,12.05406,36.34367
afr::eth::amhara::awi::ankasha,1,daily_group,12,0.657948213,58,0.617141658,0.0,0.0,daily,ETH,93981.7,537.9821993,1.82,174.6929548,Rural settings,"Population <100,000",AFR,8/29/2016,11/20/2016,0.0,admin3,15590,5.57,10.72477,36.93622
afr::eth::amhara::awi::ankasha,3,daily_group,17,0.657948213,57,0.6013926,0.0,0.0,daily,ETH,94780.0,537.9821993,1.39,176.1768328,Rural settings,"Population <100,000",AFR,7/3/2017,10/29/2017,0.0,admin3,15590,3.0,10.72477,36.93622
afr::eth::amhara::centralgondar,2,daily_group,13,0.272769468,757,0.314926202,0.0,0.0,daily,ETH,2403737.8,20989.44998,1.92,114.5212382,Rural settings,"Population >1,000,000",AFR,8/15/2016,11/13/2016,0.0,admin2,16627,2.71,12.193316337000056,37.177159655000025
afr::eth::amhara::centralgondar,3,daily_group,10,0.272769468,374,0.152486104,2.0,0.534759358,daily,ETH,2452682.5,20989.44998,1.8,116.8531096,Rural settings,"Population >1,000,000",AFR,7/17/2017,9/24/2017,0.0,admin2,16627,4.71,12.193316337000056,37.177159655000025
afr::eth::amhara::centralgondar::gondarzuria,1,daily_group,12,0.323119855,92,0.603236598,0.0,0.0,daily,ETH,152510.6,1108.768227,2.08,137.5495764,Rural settings,"Population <1,000,000",AFR,8/15/2016,11/6/2016,0.0,admin3,15608,3.57,12.12238,37.64209
afr::eth::amhara::centralgondar::layarmacho,1,daily_group,13,0.106568048,41,0.212917815,0.0,0.0,daily,ETH,192562.6,1059.351658,1.9,181.7740111,Rural settings,"Population <1,000,000",AFR,8/15/2016,11/13/2016,0.0,admin3,15610,3.29,12.96607,37.43413
afr::eth::amhara::centralgondar::tsegede,1,daily_group,7,1.155539995,120,1.387286369,0.0,0.0,daily,ETH,86499.8,1879.401975,2.08,46.02517245,Rural settings,"Population <100,000",AFR,7/17/2017,9/3/2017,0.0,admin3,15614,4.71,13.592,36.51927
afr::eth::amhara::centralgondar::wegera,1,daily_group,11,0.684987114,209,0.943998103,0.0,0.0,daily,ETH,221398.8,1238.477778,1.38,178.7668733,Rural settings,"Population <1,000,000",AFR,8/29/2016,11/13/2016,0.0,admin3,15615,4.43,12.92509,37.83456
afr::eth::amhara::centralgondar::wegera,2,daily_group,9,0.684987114,86,0.380853055,1.0,1.162790698,daily,ETH,225808.9,1238.477778,1.96,182.3277769,Rural settings,"Population <1,000,000",AFR,7/31/2017,10/1/2017,0.0,admin3,15615,3.57,12.92509,37.83456
afr::eth::amhara::eastgojam,1,daily_group,8,0.07078679,67,0.025139003,1.0,1.492537313,daily,ETH,2665181.3,14081.30865,2.02,189.270853,Rural settings,"Population >1,000,000",AFR,8/7/2017,10/1/2017,4.0,admin2,16651,3.0,11.239158663000069,37.854185216000076
afr::eth::amhara::northgondar,2,daily_group,12,0.338286954,463,0.569520695,0.0,0.0,daily,ETH,812964.3,6855.075826,3.13,118.5930427,Rural settings,"Population <1,000,000",AFR,8/15/2016,11/6/2016,0.0,admin2,16640,2.71,12.90619,38.36158
afr::eth::amhara::northgondar::janamora,1,daily_group,12,0.344480144,127,0.748517676,0.0,0.0,daily,ETH,169668.7,1296.696732,2.24,130.8468633,Rural settings,"Population <1,000,000",AFR,8/15/2016,11/6/2016,0.0,admin3,15652,3.14,12.90619,38.36158
afr::eth::amhara::northshewa,1,daily_group,18,0.093600467,451,0.204985022,0.0,0.0,daily,ETH,2200160.8,16184.77079,2.25,135.940189,Rural settings,"Population >1,000,000",AFR,7/4/2016,11/6/2016,0.0,admin2,16650,3.86,10.74444,39.6882
afr::eth::amhara::northshewa::angolelanatera,1,daily_group,8,0.047227512,10,0.103428251,0.0,0.0,daily,ETH,96685.4,807.5365188,2.15,119.7288268,Rural settings,"Population <100,000",AFR,7/25/2016,9/18/2016,0.0,admin3,15663,3.57,9.605819,39.45914
afr::eth::amhara::northshewa::debreberhan,1,daily_group,7,0.057808516,12,0.101280519,0.0,0.0,daily,ETH,118482.8,146.3769126,1.79,809.436392,Rural settings,"Population <1,000,000",AFR,7/25/2016,9/11/2016,0.0,admin3,15670,3.0,9.597645,39.4638
afr::eth::amhara::northshewa::eferatanagidem,1,daily_group,6,0.043845887,9,0.07201687,0.0,0.0,daily,ETH,124970.7,511.1145077,2.01,244.5062664,Rural settings,"Population <1,000,000",AFR,10/3/2016,11/13/2016,0.0,admin3,15671,3.29,10.39511,39.94783
afr::eth::amhara::northshewa::hageremariam,1,daily_group,7,0.18184344,28,0.398237134,0.0,0.0,daily,ETH,70309.9,714.9431364,1.85,98.34334567,Rural settings,"Population <100,000",AFR,7/25/2016,9/11/2016,0.0,admin3,15674,3.71,9.322259,39.46452
afr::eth::amhara::northshewa::kewet,1,daily_group,7,0.162631553,44,0.356163101,0.0,0.0,daily,ETH,123538.9,756.6279502,2.2,163.2756231,Rural settings,"Population <1,000,000",AFR,8/22/2016,10/9/2016,0.0,admin3,15675,3.14,10.19648,39.83249
afr::eth::amhara::northshewa::menzkeyagabriel,1,daily_group,9,0.400098353,48,0.876215394,0.0,0.0,daily,ETH,54781.1,544.8162801,2.09,100.5496752,Rural settings,"Population <100,000",AFR,7/4/2016,9/4/2016,0.0,admin3,15678,2.43,10.33686,39.39876
afr::eth::amhara::northwello,1,daily_group,13,0.021348988,62,0.037795023,0.0,0.0,daily,ETH,1640427.6,11131.25852,2.01,147.3712606,Rural settings,"Population >1,000,000",AFR,8/1/2016,10/30/2016,0.0,admin2,16655,4.14,11.82128,39.43305
afr::eth::amhara::northwello::meket,1,daily_group,5,0.043190256,9,0.061281707,0.0,0.0,daily,ETH,146862.8,1331.77981,1.93,110.2755868,Rural settings,"Population <1,000,000",AFR,8/1/2016,9/4/2016,0.0,admin3,15701,3.14,11.89801,38.91283
afr::eth::amhara::oromiya,1,daily_group,12,0.11104439,133,0.241372383,0.0,0.0,daily,ETH,551015.8,3814.731684,1.76,144.4441826,Rural settings,"Population <1,000,000",AFR,8/1/2016,10/23/2016,0.0,admin2,16654,4.0,11.43681663700005,40.05192654900003
afr::eth::amhara::oromiya::artumafursi,1,daily_group,7,0.112585979,25,0.246563293,0.0,0.0,daily,ETH,101393.8,613.146455,2.01,165.3663642,Rural settings,"Population <1,000,000",AFR,8/8/2016,9/25/2016,0.0,admin3,15705,3.0,10.63101,40.0219
afr::eth::amhara::southgondar,1,daily_group,13,0.231049235,553,0.223568304,11.0,1.98915009,daily,ETH,2473517.0,14104.08313,3.01,175.3759516,Rural settings,"Population >1,000,000",AFR,7/3/2017,10/1/2017,4.0,admin2,16648,7.0,12.55254,38.42081
afr::eth::amhara::southgondar::dera,1,daily_group,11,0.825487338,289,1.189080441,0.0,0.0,daily,ETH,243045.0,1539.380737,1.81,157.8849171,Rural settings,"Population <1,000,000",AFR,7/24/2017,10/8/2017,0.0,admin3,15714,4.0,10.38509,38.74048
afr::eth::amhara::southgondar::semada,1,daily_group,7,0.545285224,181,0.982884622,9.0,4.972375691,daily,ETH,184151.8,1339.858462,3.01,137.4412337,Rural settings,"Population <1,000,000",AFR,7/3/2017,8/20/2017,4.0,admin3,15726,3.71,11.57095,38.25164
afr::eth::amhara::southwello,1,daily_group,14,0.007924164,39,0.012158557,0.0,0.0,daily,ETH,3207617.5,18535.69095,1.78,173.050873,Rural settings,"Population >1,000,000",AFR,7/25/2016,10/30/2016,0.0,admin2,16656,4.14,11.84943,39.35273
afr::eth::amhara::waghimra,1,daily_group,15,0.215936455,113,0.222361253,0.0,0.0,daily,ETH,508182.1,8918.570187,1.78,56.98022097,Rural settings,"Population <1,000,000",AFR,8/29/2016,12/11/2016,1.0,admin2,16653,8.71,13.29427475700004,38.66431720600008
afr::eth::amhara::waghimra::abergele,1,daily_group,23,1.584428844,103,1.803095638,0.0,0.0,daily,ETH,57124.0,1575.210347,1.78,36.26436311,Rural settings,"Population <100,000",AFR,8/29/2016,2/5/2017,1.0,admin3,15757,5.71,13.29427,38.66432
afr::eth::amhara::westgojam,1,daily_group,6,0.203194014,70,0.024710645,2.0,2.857142857,daily,ETH,2832787.3,13563.08647,1.52,208.8600781,Rural settings,"Population >1,000,000",AFR,3/20/2017,4/30/2017,13.0,admin2,16635,3.86,11.897846696000045,37.30807847600005
afr::eth::amhara::westgojam,3,daily_group,15,0.203194014,206,0.072719898,2.0,0.970873786,daily,ETH,2832787.3,13563.08647,1.59,208.8600781,Rural settings,"Population >1,000,000",AFR,6/19/2017,10/1/2017,0.0,admin2,16635,6.43,11.897846696000045,37.30807847600005
afr::eth::amhara::westgojam::bahirdarzuria,3,daily_group,24,1.592624597,214,1.542736018,4.0,1.869158879,daily,ETH,138714.6,1443.372714,1.45,96.104491,Rural settings,"Population <1,000,000",AFR,3/20/2017,9/3/2017,9.0,admin3,15762,19.43,11.94533,37.27271
afr::eth::amhara::westgondar,1,daily_group,12,1.345666105,421,1.487937621,0.0,0.0,daily,ETH,282942.0,15286.68386,1.98,18.50905027,Rural settings,"Population <1,000,000",AFR,8/22/2016,11/13/2016,0.0,admin2,16649,5.86,13.30765,36.5893
afr::eth::amhara::westgondar,2,daily_group,11,1.345666105,412,1.427607861,2.0,0.485436893,daily,ETH,288594.7,15286.68386,2.48,18.87882962,Rural settings,"Population <1,000,000",AFR,7/17/2017,10/1/2017,0.0,admin2,16649,4.29,13.30765,36.5893
afr::eth::amhara::westgondar::metema,1,daily_group,5,0.699320623,31,0.24482748,0.0,0.0,daily,ETH,126619.8,5326.195476,1.79,23.77302909,Rural settings,"Population <1,000,000",AFR,10/10/2016,11/13/2016,0.0,admin3,15782,3.57,13.26503,36.35742
afr::eth::amhara::westgondar::mirabarmacho,1,daily_group,12,11.78942528,291,12.9597264,0.0,0.0,daily,ETH,22454.2,1488.788551,1.95,15.08219551,Rural settings,"Population <100,000",AFR,8/22/2016,11/13/2016,0.0,admin3,15784,5.86,13.69069,36.48035
afr::eth::amhara::westgondar::mirabarmacho,2,daily_group,12,11.78942528,292,12.81728578,0.0,0.0,daily,ETH,22781.7,1488.788551,2.32,15.30217302,Rural settings,"Population <100,000",AFR,7/17/2017,10/8/2017,0.0,admin3,15784,5.0,13.69069,36.48035
afr::eth::benishangulgumuz,1,daily_group,10,0.221875685,244,0.239974134,16.0,6.557377049,daily,ETH,1016776.3,50237.03954,1.87,20.23957441,Rural settings,"Population >1,000,000",AFR,9/19/2016,11/27/2016,21.0,admin1,16680,5.43,8.96511,36.23862
afr::eth::benishangulgumuz::metekel,1,daily_group,11,0.254474799,223,0.535940818,16.0,7.174887892,daily,ETH,416090.7,25478.94105,1.59,16.33076897,Rural settings,"Population <1,000,000",AFR,9/12/2016,11/27/2016,18.0,admin2,16694,6.43,11.97025,35.97231
afr::eth::benishangulgumuz::metekel::wenbera,1,daily_group,25,0.707705321,123,1.551344844,14.0,11.38211382,daily,ETH,79286.0,7154.638234,2.18,11.08176226,Rural settings,"Population <100,000",AFR,9/5/2016,2/26/2017,7.0,admin3,15791,5.43,11.13685,35.82759
afr::eth::diredawa,1,daily_group,11,0.312125831,48,0.112403532,0.0,0.0,daily,ETH,427032.8,1053.55836,1.87,405.3242955,Rural settings,"Population <1,000,000",AFR,8/15/2016,10/30/2016,12.0,admin1,16682,9.29,9.656902,42.26265
afr::eth::diredawa,2,daily_group,6,0.312125831,99,0.226166847,1.0,1.01010101,daily,ETH,437729.9,1053.55836,1.7,415.4776011,Rural settings,"Population <1,000,000",AFR,9/18/2017,10/29/2017,1.0,admin1,16682,4.57,9.656902,42.26265
afr::eth::harari,3,daily_group,21,0.566761348,273,1.177082542,0.0,0.0,daily,ETH,231929.4,370.8335511,2.13,625.4272282,Rural settings,"Population <1,000,000",AFR,7/18/2016,12/11/2016,16.0,admin1,16693,5.43,9.384942,42.23808
afr::eth::harari::harari::direteyara,1,daily_group,19,1.115718072,24,2.350371807,0.0,0.0,daily,ETH,10211.2,11.36141122,2.0,898.7615889,Rural settings,"Population <100,000",AFR,8/1/2016,12/11/2016,0.0,admin3,15837,3.43,9.375746,42.15794
afr::eth::harari::harari::shenkor,1,daily_group,19,0.453909636,22,0.994062103,0.0,0.0,daily,ETH,22131.4,27.13932263,1.98,815.4735585,Rural settings,"Population <100,000",AFR,7/18/2016,11/27/2016,3.0,admin3,15841,1.71,9.375746,42.15794
afr::eth::harari::harari::sofi,2,daily_group,18,0.711655801,69,1.423190152,0.0,0.0,daily,ETH,48482.6,131.4546765,2.0,368.8160915,Rural settings,"Population <100,000",AFR,7/25/2016,11/27/2016,1.0,admin3,15842,4.57,9.299025,42.15208
afr::eth::oromia::arsi,1,daily_group,18,0.04606365,316,0.09353046,0.0,0.0,daily,ETH,3378578.5,20600.69908,1.93,164.0030995,Rural settings,"Population >1,000,000",AFR,8/22/2016,12/25/2016,0.0,admin2,16687,4.57,8.709593420000033,39.92012661500007
afr::eth::oromia::arsi::merti,1,daily_group,11,0.31270665,57,0.527502312,0.0,0.0,daily,ETH,108056.4,872.1942023,1.93,123.8902984,Rural settings,"Population <1,000,000",AFR,8/22/2016,11/6/2016,0.0,admin3,15860,4.14,8.661737,39.99024
